# Time	pop00	pop01	pop10	pop11	pop_std00	pop_std01,	pop_std10	pop_std11
# 
2.000000000000000000e+02 1.719100000000000142e-02 -1.980499999999999969e-02 -1.811499999999999916e-02 1.020699999999999941e+00 1.671200000000000116e-02 3.348299999999999887e-02 2.800199999999999911e-02 4.021299999999999875e-02
2.296699999999999875e+02 9.948399999999999466e-01 4.094900000000000276e-03 6.044100000000000167e-03 -4.974199999999999802e-03 3.950800000000000145e-02 2.661799999999999930e-02 3.402100000000000263e-02 1.587099999999999969e-02
2.593299999999999841e+02 1.032799999999999940e+00 -2.259399999999999950e-02 -4.256800000000000167e-02 3.238300000000000206e-02 4.068800000000000194e-02 2.796200000000000074e-02 3.378300000000000053e-02 1.757399999999999934e-02
2.890000000000000000e+02 1.060899999999999954e+00 -5.190899999999999681e-02 -2.438099999999999989e-02 1.542100000000000068e-02 4.154299999999999660e-02 2.717599999999999877e-02 3.546400000000000247e-02 1.607499999999999901e-02
3.186700000000000159e+02 9.660300000000000553e-01 3.149300000000000016e-02 1.076700000000000096e-03 1.397100000000000078e-03 4.092699999999999810e-02 2.806300000000000114e-02 3.399699999999999944e-02 1.698200000000000057e-02
3.483299999999999841e+02 8.198900000000000077e-01 9.209100000000000619e-02 5.757099999999999718e-02 3.045099999999999890e-02 3.815600000000000241e-02 2.850499999999999909e-02 3.219299999999999939e-02 1.949199999999999891e-02
3.780000000000000000e+02 4.945499999999999896e-01 2.762800000000000256e-01 1.665600000000000136e-01 6.260999999999999899e-02 3.275499999999999939e-02 2.813200000000000076e-02 2.778100000000000014e-02 2.281700000000000048e-02
4.076700000000000159e+02 2.876199999999999868e-01 2.831299999999999928e-01 2.018399999999999916e-01 2.274100000000000010e-01 2.923900000000000110e-02 2.956999999999999906e-02 2.774000000000000077e-02 2.817700000000000066e-02
4.373299999999999841e+02 2.500800000000000245e-01 2.626399999999999846e-01 2.570000000000000062e-01 2.302700000000000025e-01 2.951099999999999904e-02 2.807199999999999973e-02 2.731799999999999853e-02 2.648500000000000160e-02
4.670000000000000000e+02 2.655299999999999883e-01 2.304100000000000037e-01 2.382199999999999873e-01 2.658400000000000207e-01 2.712900000000000034e-02 2.917700000000000154e-02 2.700500000000000123e-02 2.933399999999999896e-02
4.966700000000000159e+02 1.749400000000000122e-01 3.256600000000000050e-01 2.693499999999999783e-01 2.300500000000000045e-01 2.747399999999999842e-02 2.976099999999999926e-02 2.789200000000000013e-02 2.907900000000000068e-02
5.263300000000000409e+02 2.966900000000000093e-01 1.970800000000000052e-01 1.907800000000000051e-01 3.154500000000000082e-01 2.770900000000000099e-02 2.774300000000000030e-02 2.718800000000000036e-02 2.726999999999999910e-02
5.560000000000000000e+02 2.371399999999999897e-01 2.334400000000000086e-01 2.269899999999999973e-01 3.024299999999999766e-01 2.726999999999999910e-02 2.767299999999999968e-02 2.753600000000000145e-02 2.847099999999999978e-02
5.856699999999999591e+02 2.520600000000000063e-01 2.069300000000000028e-01 2.653400000000000203e-01 2.756700000000000261e-01 2.712300000000000127e-02 2.642600000000000157e-02 2.931699999999999931e-02 2.826700000000000046e-02
6.153300000000000409e+02 1.837999999999999912e-01 2.782200000000000228e-01 3.194500000000000117e-01 2.185300000000000020e-01 2.668399999999999939e-02 2.749599999999999961e-02 2.874399999999999872e-02 2.770799999999999999e-02
6.450000000000000000e+02 2.324600000000000000e-01 2.226100000000000023e-01 2.618599999999999817e-01 2.830699999999999883e-01 2.791400000000000131e-02 2.766100000000000156e-02 2.881500000000000034e-02 2.897599999999999829e-02
6.746699999999999591e+02 1.549200000000000021e-01 2.768599999999999950e-01 3.018600000000000172e-01 2.663699999999999957e-01 2.621800000000000172e-02 2.803200000000000136e-02 2.744299999999999864e-02 2.848900000000000043e-02
7.043300000000000409e+02 2.275500000000000023e-01 2.452499999999999958e-01 2.752899999999999792e-01 2.519100000000000228e-01 2.756700000000000123e-02 2.873900000000000066e-02 2.797699999999999840e-02 2.821999999999999856e-02
7.340000000000000000e+02 1.857499999999999984e-01 2.460400000000000087e-01 2.670799999999999841e-01 3.011300000000000088e-01 2.632500000000000118e-02 2.769999999999999893e-02 2.824099999999999874e-02 2.966699999999999893e-02
