# Time	pop00	pop01	pop10	pop11	pop_std00	pop_std01,	pop_std10	pop_std11
# 
6.225000000000000000e+02 4.561999999999999944e-01 3.085299999999999848e-02 4.765199999999999991e-01 3.642499999999999905e-02 2.935099999999999862e-02 1.839500000000000163e-02 2.783599999999999963e-02 1.781800000000000050e-02
6.506699999999999591e+02 4.287699999999999845e-01 7.152300000000000324e-02 4.845400000000000262e-01 1.516799999999999919e-02 2.841700000000000129e-02 1.873800000000000118e-02 2.839699999999999863e-02 1.802399999999999836e-02
6.788300000000000409e+02 4.921800000000000064e-01 6.264999999999999736e-02 4.179899999999999727e-01 2.718100000000000030e-02 2.710900000000000115e-02 1.901399999999999965e-02 2.686799999999999952e-02 1.757200000000000081e-02
7.070000000000000000e+02 3.190999999999999948e-01 1.431099999999999872e-01 4.701400000000000023e-01 6.764199999999999380e-02 2.592600000000000113e-02 1.961800000000000002e-02 2.649800000000000072e-02 1.945600000000000107e-02
7.351699999999999591e+02 3.094100000000000183e-01 2.101200000000000012e-01 3.550499999999999767e-01 1.254200000000000037e-01 2.621000000000000066e-02 2.204599999999999962e-02 2.644000000000000170e-02 2.166300000000000170e-02
7.633300000000000409e+02 2.234599999999999920e-01 2.031000000000000028e-01 3.947700000000000098e-01 1.786800000000000055e-01 2.347600000000000034e-02 2.195300000000000029e-02 2.439399999999999902e-02 2.267800000000000024e-02
7.915000000000000000e+02 2.000200000000000033e-01 9.159499999999999587e-02 5.390300000000000091e-01 1.693600000000000105e-01 2.601699999999999846e-02 1.910600000000000145e-02 2.849000000000000143e-02 2.253399999999999848e-02
8.196699999999999591e+02 1.452900000000000025e-01 6.533200000000000118e-02 7.101499999999999480e-01 7.922899999999999388e-02 2.585499999999999951e-02 1.664200000000000054e-02 3.054300000000000070e-02 2.200900000000000079e-02
8.478300000000000409e+02 7.373999999999999999e-02 7.982599999999999418e-02 8.554300000000000237e-01 -8.999000000000000055e-03 2.751999999999999932e-02 1.523200000000000075e-02 3.251300000000000023e-02 2.209500000000000006e-02
8.760000000000000000e+02 9.782699999999999729e-02 5.122399999999999870e-02 7.962799999999999878e-01 5.467299999999999938e-02 2.679600000000000037e-02 1.572799999999999893e-02 3.263100000000000028e-02 2.273599999999999927e-02
9.041699999999999591e+02 7.726299999999999835e-02 5.088600000000000068e-02 8.376900000000000457e-01 3.416299999999999892e-02 2.643600000000000116e-02 1.425799999999999984e-02 3.176400000000000057e-02 2.181699999999999959e-02
9.323300000000000409e+02 1.358300000000000063e-01 5.780400000000000121e-02 7.913299999999999779e-01 1.504400000000000008e-02 2.712200000000000027e-02 1.570099999999999968e-02 3.247099999999999986e-02 2.134099999999999886e-02
9.605000000000000000e+02 9.857899999999999996e-02 6.351999999999999313e-02 8.216599999999999460e-01 1.624400000000000149e-02 2.734899999999999831e-02 1.538800000000000064e-02 3.166399999999999770e-02 2.204899999999999916e-02
9.886699999999999591e+02 1.409400000000000097e-01 6.171000000000000096e-02 7.689300000000000024e-01 2.842000000000000082e-02 2.682299999999999962e-02 1.602800000000000058e-02 3.192400000000000099e-02 2.235099999999999934e-02
1.016799999999999955e+03 9.339799999999999491e-02 8.875399999999999956e-02 8.132200000000000539e-01 4.630699999999999747e-03 2.649699999999999972e-02 1.555800000000000065e-02 3.166299999999999670e-02 2.161599999999999980e-02
